156	156	156	156
282	142	215	174
26	24	24	173
181	181	140	159
69	277	46	90
270	106	157	17
34	147	76	76
280	126	90	280
43	13	256	81
59	250	265	283
209	151	125	242
60	60	60	60
171	171	171	171
23	23	23	23
229	229	229	229
63	115	196	212
95	202	226	172
59	59	59	59
290	281	187	225
254	163	286	271
62	10	62	207
69	229	10	170
218	218	218	218
138	138	138	138
139	172	158	185
259	117	97	114
284	5	282	270
270	11	138	182
225	24	237	71
53	53	53	53
263	263	263	263
210	242	164	286
146	146	153	13
281	243	17	130
300	120	115	235
7	41	122	202
101	170	114	101
160	22	139	22
102	206	176	129
98	98	98	98
163	172	210	289
286	290	299	35
25	25	25	25
263	165	195	248
53	53	53	53
232	200	30	246
167	288	142	288
48	68	37	68
206	154	21	206
59	59	59	59
168	129	207	112
110	117	175	11
44	42	294	44
53	291	69	220
39	39	39	39
169	255	9	27
145	145	145	145
179	179	179	179
92	113	259	186
64	64	64	64
169	168	64	64
259	291	226	88
237	262	110	89
240	240	240	240
283	38	103	122
94	56	139	90
17	208	108	150
112	252	238	208
55	59	171	171
294	193	131	119
8	268	101	215
67	176	262	251
201	138	127	141
10	218	279	272
161	161	14	269
38	38	38	38
252	75	168	187
44	156	207	15
222	158	118	46
46	101	259	34
33	50	83	83
74	229	185	286
64	180	202	52
299	15	286	183
251	262	251	160
296	296	296	296
25	136	262	265
51	151	100	51
95	265	265	111
82	33	98	261
126	269	104	143
193	212	168	129
222	32	97	97
265	11	58	163
207	207	207	207
225	225	225	225
110	242	55	265
120	91	243	39
214	214	214	214
129	243	95	145
275	220	195	52
230	288	288	162
83	108	149	249
262	262	250	261
48	48	48	48
121	66	276	66
172	278	180	261
29	261	107	80
144	298	219	256
61	262	262	262
116	198	140	103
165	67	165	205
34	34	34	34
234	152	92	92
128	128	128	128
9	50	89	230
186	34	17	261
99	155	289	155
123	162	109	277
60	207	211	256
77	285	156	186
130	28	213	177
93	279	71	171
212	212	212	212
121	270	156	240
111	111	111	111
154	109	38	35
287	200	159	295
9	9	9	9
195	195	195	195
24	24	24	24
115	252	47	235
152	152	152	152
246	21	229	12
208	281	150	114
85	5	85	100
142	22	266	221
111	38	278	86
137	127	276	253
158	165	16	50
84	193	140	154
226	35	156	230
218	256	195	128
172	108	172	64
196	60	72	275
9	255	65	9
37	37	37	37
131	191	279	38
225	33	155	72
90	187	181	87
53	226	269	270
276	211	222	211
170	10	196	243
102	170	102	268
198	214	251	132
248	94	20	69
158	188	158	48
259	259	259	259
106	130	257	59
99	14	285	14
127	127	127	127
256	92	271	299
262	71	68	44
56	112	241	112
30	295	293	163
5	42	142	108
125	125	125	125
300	300	300	300
232	86	90	110
39	39	225	180
23	23	230	282
165	20	269	281
236	125	259	228
114	30	30	227
184	45	227	278
204	186	225	55
277	278	198	59
103	197	147	134
56	138	283	73
259	123	264	228
77	172	272	254
259	206	215	135
71	268	300	71
91	216	117	216
244	262	272	164
16	16	16	16
175	216	46	275
145	16	169	12
260	219	106	73
108	117	85	60
103	18	90	44
50	26	112	159
83	258	83	195
139	136	121	136
88	247	167	180
61	246	220	61
121	121	121	121
124	194	194	281
292	148	231	231
258	258	258	258
16	297	179	16
277	232	32	58
122	81	90	122
123	78	123	268
13	13	202	187
151	191	187	274
249	239	137	249
248	248	248	248
87	104	105	207
91	91	91	91
94	71	149	115
210	74	223	268
210	210	210	210
77	271	50	31
162	272	204	214
299	152	201	221
65	65	65	65
87	292	179	273
161	73	63	131
155	155	136	190
34	16	288	113
181	293	233	152
194	194	194	194
249	249	232	44
297	297	297	297
210	106	75	176
250	17	261	112
226	203	51	241
67	17	262	9
145	145	145	145
79	215	295	295
58	58	58	58
249	249	249	249
166	34	29	13
31	58	31	47
77	77	77	77
290	83	216	227
281	65	185	203
5	5	5	5
155	155	17	85
256	20	62	229
106	268	67	63
218	241	187	51
189	43	43	54
230	30	163	31
217	108	93	47
224	63	110	11
169	90	141	203
66	165	66	30
239	195	8	195
243	29	291	29
28	28	28	28
123	123	123	123
160	160	160	160
60	60	60	60
255	35	199	279
178	6	297	58
121	120	179	37
156	156	156	156
24	30	223	24
190	238	186	192
72	24	60	97
8	7	187	67
102	102	102	102
28	28	28	28
213	213	213	213
229	141	201	112
174	152	152	23
180	180	180	180
68	149	191	164
230	277	230	14
234	215	220	295
217	147	7	18
204	204	204	204
112	112	41	194
276	220	72	185
118	177	42	42
197	95	273	39
115	75	66	271
64	64	64	64
129	246	73	294
205	183	61	291
173	294	53	57
259	243	82	292
35	27	183	152
239	109	7	127
300	140	126	131
135	135	135	135
130	67	67	32
33	216	94	237
221	140	78	17
219	270	21	272
201	201	201	201
211	17	200	233
5	45	10	115
297	137	217	220
5	53	10	222
17	88	90	34
215	255	252	148
60	70	228	76
83	69	273	22
62	62	62	62
208	208	208	208
114	118	221	118
11	264	27	106
106	106	106	106
89	200	73	185
218	218	218	218
107	284	286	284
251	202	92	90
275	201	270	44
194	194	69	284
275	21	150	254
130	228	112	37
138	138	138	138
132	270	277	126
180	289	245	221
78	251	199	108
51	235	169	273
85	295	37	237
130	130	130	130
74	78	119	237
40	254	102	5
81	125	82	31
221	293	102	221
41	153	136	156
68	137	205	235
294	123	210	210
298	146	169	169
152	293	181	52
193	15	168	29
128	128	92	110
215	109	109	65
121	116	28	194
117	44	274	266
54	77	165	20
111	200	92	111
77	71	87	283
149	149	149	149
278	173	81	7
130	195	299	282
149	149	119	39
122	122	122	122
17	175	175	37
89	227	227	135
229	252	50	112
31	214	146	24
54	127	267	177
80	80	80	80
62	171	149	149
263	263	263	263
79	286	199	39
278	243	56	176
216	232	224	85
45	66	48	253
12	12	12	12
189	133	186	276
70	70	70	70
49	49	49	49
111	272	291	46
131	35	35	233
73	202	252	56
148	214	201	207
137	137	137	137
120	125	23	23
